# BasicDataInfo.txt

# These data were obtained with GetBasicDataInfo.py

# Data structure:
# Snapshot nMergersSnapshot tLbMin tLbMax zMin zMax

26 1.1441240000e+06 8.4895523059e-04 1.3581565412e+01 1.3435201255e+01 1.3592065412e+01
27 8.3236200000e+05 2.3710123985e-03 1.3427920149e+01 1.3411132864e+01 1.3434910823e+01
28 1.3145750000e+06 3.6211888674e-04 1.3403184049e+01 1.3385293506e+01 1.3410821067e+01
29 1.6242850000e+06 6.3269245034e-04 1.3377923730e+01 1.3360416656e+01 1.3385126181e+01
30 2.3305750000e+06 2.7529131235e-04 1.3353002663e+01 1.3330846410e+01 1.3360059824e+01
31 3.4496550000e+06 4.1809840796e-04 1.3323979943e+01 1.3299101597e+01 1.3330654936e+01
32 3.4453130000e+06 2.4034675281e-04 1.3292590322e+01 1.3275501411e+01 1.3298896033e+01
33 1.8141140000e+06 2.3667047127e-04 1.3268369254e+01 1.3265022760e+01 1.3275393429e+01
34 6.8936180000e+06 5.1428780797e-05 1.3258039429e+01 1.3232215325e+01 1.3264912447e+01
35 8.3285290000e+06 1.2167836815e-04 1.3225173796e+01 1.3201242610e+01 1.3232097733e+01
36 2.4885160000e+06 7.4719478121e-04 1.3194146113e+01 1.3193221038e+01 1.3201118150e+01
37 1.4975246000e+07 4.9503918040e-05 1.3186110341e+01 1.3151362571e+01 1.3193094796e+01
38 2.0471194000e+07 1.3052947017e-05 1.3144220291e+01 1.3106430817e+01 1.3151294795e+01
39 2.7296183000e+07 3.8541379926e-05 1.3099748757e+01 1.3058201762e+01 1.3106285318e+01
40 3.1674253000e+07 8.3747200872e-06 1.3051189477e+01 1.3011778550e+01 1.3058123712e+01
41 2.5291006000e+07 4.0508718696e-05 1.3005012726e+01 1.2979146476e+01 1.3011695393e+01
42 1.8913383000e+07 2.1055217223e-05 1.2972699209e+01 1.2956609708e+01 1.2979059629e+01
43 5.5321859000e+07 2.6657716029e-05 1.2950152552e+01 1.2897400261e+01 1.2956520494e+01
44 6.9184881000e+07 2.3017614755e-05 1.2890533385e+01 1.2833857867e+01 1.2897304468e+01
45 3.1706881000e+07 1.6754259484e-04 1.2826934827e+01 1.2807158430e+01 1.2833806407e+01
46 4.2112779000e+07 3.3437851936e-05 1.2800635273e+01 1.2772707260e+01 1.2807052609e+01
47 9.1626383000e+07 7.7919890788e-06 1.2766168915e+01 1.2700053912e+01 1.2772597642e+01
48 1.0565776600e+08 7.8817591991e-06 1.2693012972e+01 1.2622101667e+01 1.2699995198e+01
49 9.8741504000e+07 4.5671841887e-05 1.2615749332e+01 1.2555671346e+01 1.2622038585e+01
50 2.7387340000e+07 6.4914328503e-05 1.2548503485e+01 1.2538472246e+01 1.2555604523e+01
51 1.5357779600e+08 2.1935403431e-05 1.2531830978e+01 1.2448763104e+01 1.2538404632e+01
52 1.5764975900e+08 1.7391645050e-05 1.2442082417e+01 1.2362472640e+01 1.2448690626e+01
54 3.4411164500e+08 2.0219594656e-06 1.2355263423e+01 1.2183908610e+01 1.2362395464e+01
56 3.0514533600e+08 1.3320832306e-05 1.2177112320e+01 1.2032366401e+01 1.2183821602e+01
57 2.5877433500e+08 1.9707877996e-06 1.2025504167e+01 1.1906139242e+01 1.2032318741e+01
58 2.7929701100e+08 7.6063092980e-06 1.1899222575e+01 1.1770890168e+01 1.1906088134e+01
59 2.9564844300e+08 1.1901490243e-05 1.1763915212e+01 1.1626017644e+01 1.1770835498e+01
60 1.2183857000e+08 1.0331263042e-05 1.1618980624e+01 1.1565233790e+01 1.1625959108e+01
61 1.8811274900e+08 1.4681177921e-05 1.1558170830e+01 1.1470890749e+01 1.1565113403e+01
62 2.9288385500e+08 1.6264644715e-05 1.1463787614e+01 1.1321963355e+01 1.1470827836e+01
63 2.9593342800e+08 5.5985471121e-06 1.1314796749e+01 1.1163693500e+01 1.1321896471e+01
64 2.6649813100e+08 2.0284962046e-05 1.1156460620e+01 1.1014747865e+01 1.1163622546e+01
65 2.6751973300e+08 2.6656933846e-05 1.1007452384e+01 1.0857637308e+01 1.1014673307e+01
66 2.3091082400e+08 4.2808708045e-07 1.0850306832e+01 1.0713166816e+01 1.0857558658e+01
67 2.2692754600e+08 2.1577066438e-05 1.0705937009e+01 1.0561891360e+01 1.0713084152e+01
68 2.2290318700e+08 1.3480144274e-05 1.0554500442e+01 1.0403547088e+01 1.0561805051e+01
69 2.1667824600e+08 4.7033152129e-07 1.0396224017e+01 1.0237867726e+01 1.0403456651e+01
70 1.8046868800e+08 2.3122523889e-05 1.0230578496e+01 1.0089816442e+01 1.0237773111e+01
71 1.7555135600e+08 1.2487912874e-05 1.0082430574e+01 9.9360130219e+00 1.0089718210e+01
72 1.6975612000e+08 2.0649015387e-06 9.9287092711e+00 9.7762910039e+00 9.9359111468e+00
73 1.3666263200e+08 8.2615809731e-06 9.7689790121e+00 9.6385486491e+00 9.7761850083e+00
74 1.5753057500e+08 5.3178100678e-06 9.6310742712e+00 9.4675493843e+00 9.6383300583e+00
75 1.2545602000e+08 5.6340106642e-06 9.4603955703e+00 9.3201849782e+00 9.4673224785e+00
76 1.2033453000e+08 9.3833226309e-06 9.3131494025e+00 9.1683019464e+00 9.3200677426e+00
77 1.1547891500e+08 1.2937281344e-06 9.1606384100e+00 9.0118142479e+00 9.1681816234e+00
78 1.1029759200e+08 1.5893226848e-05 9.0047213554e+00 8.8506372415e+00 9.0115660282e+00
79 1.0512984300e+08 1.3361810858e-07 8.8435150371e+00 8.6846919608e+00 8.8505098231e+00
80 8.0639264000e+07 1.0509036519e-05 8.6770657761e+00 8.5484502861e+00 8.6844286314e+00
81 9.6767762000e+07 1.8253989307e-06 8.5412736696e+00 8.3737316808e+00 8.5483154717e+00
