# frequency, hf_mean, hf_min, hf_max
13.523 145260 0 0
0.97650E-07 0.13306E-25 0.34301E-27 0.30622E-25
0.99926E-07 0.13511E-25 0.34832E-27 0.31096E-25
0.10225E-06 0.13721E-25 0.35371E-27 0.31577E-25
0.10464E-06 0.13933E-25 0.35918E-27 0.32066E-25
0.10707E-06 0.14148E-25 0.36474E-27 0.32562E-25
0.10957E-06 0.14367E-25 0.37038E-27 0.33066E-25
0.11212E-06 0.14590E-25 0.37611E-27 0.33577E-25
0.11473E-06 0.14815E-25 0.38193E-27 0.34097E-25
0.11741E-06 0.15045E-25 0.38784E-27 0.34625E-25
0.12014E-06 0.15277E-25 0.39384E-27 0.35160E-25
0.12294E-06 0.15514E-25 0.39994E-27 0.35704E-25
0.12581E-06 0.15754E-25 0.40613E-27 0.36257E-25
0.12874E-06 0.15998E-25 0.41241E-27 0.36818E-25
0.13174E-06 0.16245E-25 0.41879E-27 0.37388E-25
0.13481E-06 0.16497E-25 0.42527E-27 0.37966E-25
0.13795E-06 0.16752E-25 0.43185E-27 0.38554E-25
0.14116E-06 0.17011E-25 0.43854E-27 0.39150E-25
0.14445E-06 0.17274E-25 0.44532E-27 0.39756E-25
0.14782E-06 0.17542E-25 0.45221E-27 0.40371E-25
0.15126E-06 0.17813E-25 0.45921E-27 0.40996E-25
0.15479E-06 0.18089E-25 0.46631E-27 0.41630E-25
0.15839E-06 0.18369E-25 0.47353E-27 0.42274E-25
0.16208E-06 0.18653E-25 0.48086E-27 0.42928E-25
0.16586E-06 0.18941E-25 0.48830E-27 0.43593E-25
0.16972E-06 0.19235E-25 0.49585E-27 0.44267E-25
0.17368E-06 0.19532E-25 0.50353E-27 0.44952E-25
0.17773E-06 0.19834E-25 0.51132E-27 0.45648E-25
0.18187E-06 0.20141E-25 0.51923E-27 0.46354E-25
0.18610E-06 0.20453E-25 0.52726E-27 0.47071E-25
0.19044E-06 0.20769E-25 0.53542E-27 0.47800E-25
0.19488E-06 0.21091E-25 0.54371E-27 0.48539E-25
0.19942E-06 0.21417E-25 0.55212E-27 0.49290E-25
0.20407E-06 0.21749E-25 0.56066E-27 0.50053E-25
0.20882E-06 0.22085E-25 0.56934E-27 0.50828E-25
0.21369E-06 0.22427E-25 0.57815E-27 0.51614E-25
0.21866E-06 0.22774E-25 0.58710E-27 0.52413E-25
0.22376E-06 0.23126E-25 0.59618E-27 0.53224E-25
0.22897E-06 0.23484E-25 0.60541E-27 0.54047E-25
0.23431E-06 0.23848E-25 0.61477E-27 0.54884E-25
0.23977E-06 0.24217E-25 0.62429E-27 0.55733E-25
0.24535E-06 0.24591E-25 0.63395E-27 0.56595E-25
0.25107E-06 0.24972E-25 0.64376E-27 0.57471E-25
0.25692E-06 0.25358E-25 0.65372E-27 0.58360E-25
0.26291E-06 0.25751E-25 0.66383E-27 0.59263E-25
0.26903E-06 0.26149E-25 0.67410E-27 0.60180E-25
0.27530E-06 0.26554E-25 0.68453E-27 0.61112E-25
0.28172E-06 0.26964E-25 0.69513E-27 0.62057E-25
0.28828E-06 0.27382E-25 0.70588E-27 0.63018E-25
0.29500E-06 0.27805E-25 0.71681E-27 0.63993E-25
0.30187E-06 0.28236E-25 0.72790E-27 0.64983E-25
0.30890E-06 0.28673E-25 0.73916E-27 0.65988E-25
0.31610E-06 0.29116E-25 0.75060E-27 0.67009E-25
0.32347E-06 0.29567E-25 0.76221E-27 0.68046E-25
0.33100E-06 0.30024E-25 0.77401E-27 0.69099E-25
0.33872E-06 0.30489E-25 0.78598E-27 0.70168E-25
0.34661E-06 0.30961E-25 0.79815E-27 0.71254E-25
0.35468E-06 0.31440E-25 0.81050E-27 0.72357E-25
0.36295E-06 0.31926E-25 0.82304E-27 0.73476E-25
0.37140E-06 0.32420E-25 0.83577E-27 0.74613E-25
0.38006E-06 0.32922E-25 0.84870E-27 0.75768E-25
0.38891E-06 0.33431E-25 0.86184E-27 0.76940E-25
0.39797E-06 0.33949E-25 0.87517E-27 0.78131E-25
0.40725E-06 0.34474E-25 0.88872E-27 0.79340E-25
0.41674E-06 0.35007E-25 0.90247E-27 0.80567E-25
0.42645E-06 0.35549E-25 0.91643E-27 0.81814E-25
0.43638E-06 0.36099E-25 0.93061E-27 0.83080E-25
0.44655E-06 0.36658E-25 0.94501E-27 0.84366E-25
0.45695E-06 0.37225E-25 0.95963E-27 0.85671E-25
0.46760E-06 0.37801E-25 0.97448E-27 0.86997E-25
0.47850E-06 0.38386E-25 0.98956E-27 0.88343E-25
0.48965E-06 0.38980E-25 0.10049E-26 0.89710E-25
0.50105E-06 0.39583E-25 0.10204E-26 0.91098E-25
0.51273E-06 0.40195E-25 0.10362E-26 0.92508E-25
0.52468E-06 0.40817E-25 0.10522E-26 0.93939E-25
0.53690E-06 0.41449E-25 0.10685E-26 0.95393E-25
